object_id,time,groundwater_storage
7,2013-12-01 00:00:00,19.76914342
7,2014-01-01 00:00:00,40.10708073
7,2014-03-01 00:00:00,13.07569613
7,2014-04-01 00:00:00,9.044374868
7,2014-05-01 00:00:00,-9.936778191
7,2014-06-01 00:00:00,-9.036546417
7,2014-08-01 00:00:00,-45.01010942
7,2014-09-01 00:00:00,-39.10596042
7,2014-10-01 00:00:00,-40.11966396
7,2014-11-01 00:00:00,-44.93440758
7,2015-01-01 00:00:00,18.30016761
7,2015-02-01 00:00:00,49.78616779
7,2015-03-01 00:00:00,12.17828532
7,2015-04-01 00:00:00,13.49607278
7,2015-05-01 00:00:00,2.755672972
7,2015-07-01 00:00:00,-2.746194285
7,2015-08-01 00:00:00,-37.29569378
7,2015-09-01 00:00:00,-77.95066075
7,2015-12-01 00:00:00,23.24656184
7,2016-01-01 00:00:00,-53.19669115
7,2016-02-01 00:00:00,-7.678829713
7,2016-03-01 00:00:00,-4.313172308
7,2016-05-01 00:00:00,-21.88015493
7,2016-06-01 00:00:00,-47.62481422
7,2016-07-01 00:00:00,-30.51326425
7,2016-08-01 00:00:00,-9.811793586
7,2016-11-01 00:00:00,-36.48792484
7,2016-12-01 00:00:00,46.34715458
7,2017-01-01 00:00:00,38.59043925
7,2017-03-01 00:00:00,12.26420605
7,2017-04-01 00:00:00,35.11058968
7,2017-05-01 00:00:00,20.87608657
7,2017-06-01 00:00:00,-20.6286296
7,2018-06-01 00:00:00,-34.69245273
7,2018-07-01 00:00:00,-9.71555562
7,2018-10-01 00:00:00,-18.32749838
7,2018-11-01 00:00:00,-10.01530093
7,2018-12-01 00:00:00,-61.64780536
7,2019-01-01 00:00:00,-34.0706932
7,2019-02-01 00:00:00,16.85072732
7,2019-03-01 00:00:00,6.50901242
7,2019-04-01 00:00:00,7.320948425
7,2019-05-01 00:00:00,-13.49702679
7,2019-06-01 00:00:00,-35.97038665
7,2019-07-01 00:00:00,-58.60757437
7,2019-08-01 00:00:00,-49.10485783
7,2019-09-01 00:00:00,-54.36435451
7,2019-10-01 00:00:00,-38.26694749
7,2019-11-01 00:00:00,-36.90404207
7,2019-12-01 00:00:00,-49.42468832
7,2020-01-01 00:00:00,5.395921125
7,2020-02-01 00:00:00,19.62698374
7,2020-03-01 00:00:00,26.51121302
7,2020-04-01 00:00:00,-10.74815454
7,2020-05-01 00:00:00,-3.983116848
7,2020-06-01 00:00:00,-28.75380308
7,2020-07-01 00:00:00,-38.70230165
7,2020-08-01 00:00:00,-49.37790998
7,2020-09-01 00:00:00,-44.3399499
7,2020-10-01 00:00:00,-49.863279
7,2020-11-01 00:00:00,-39.46991518
7,2020-12-01 00:00:00,-59.56684388
25,2002-04-01 00:00:00,104.6375527
25,2002-05-01 00:00:00,95.64500458
25,2002-08-01 00:00:00,101.4863429
25,2002-09-01 00:00:00,91.43931062
25,2002-10-01 00:00:00,45.11390788
25,2002-11-01 00:00:00,18.78852276
25,2002-12-01 00:00:00,-13.89430521
25,2003-01-01 00:00:00,41.74199181
25,2003-02-01 00:00:00,41.73795557
25,2003-03-01 00:00:00,89.42364931
25,2003-04-01 00:00:00,128.571194
25,2003-05-01 00:00:00,97.97923637
25,2003-07-01 00:00:00,140.176326
25,2003-08-01 00:00:00,141.0272185
25,2003-09-01 00:00:00,121.1320488
25,2003-10-01 00:00:00,71.44368639
25,2003-11-01 00:00:00,71.6263259
25,2003-12-01 00:00:00,54.38490236
25,2004-01-01 00:00:00,67.98444483
25,2004-02-01 00:00:00,132.7633789
25,2004-03-01 00:00:00,104.4510259
25,2004-04-01 00:00:00,134.4450795
25,2004-05-01 00:00:00,133.8102517
25,2004-06-01 00:00:00,132.9248869
25,2004-07-01 00:00:00,143.0727962
25,2004-08-01 00:00:00,123.5502195
25,2004-09-01 00:00:00,142.997619
25,2004-10-01 00:00:00,97.5731235
25,2004-11-01 00:00:00,91.9200635
25,2004-12-01 00:00:00,50.52958319
25,2005-01-01 00:00:00,38.63042888
25,2005-02-01 00:00:00,63.84609211
25,2005-03-01 00:00:00,88.29068087
25,2005-04-01 00:00:00,97.18481381
25,2005-05-01 00:00:00,111.4576463
25,2005-06-01 00:00:00,112.5850992
25,2005-07-01 00:00:00,103.5211178
25,2005-08-01 00:00:00,115.0201247
25,2005-09-01 00:00:00,113.650873
25,2005-10-01 00:00:00,68.96728656
25,2005-11-01 00:00:00,34.07924029
